"uniprotids","Entanglement","Length","Essential","Total_Mutations_n","Path_Mutations_m","p_hat_m_div_n"
"Q6PCD5","Yes",774,"No",16,1,0.0625
"Q6PI48","Yes",645,"No",32,24,0.75
"Q6Q788","No",366,"No",13,0,0
"Q6YHU6","Yes",1953,"No",35,0,0
"Q6ZVN8","Yes",426,"No",20,16,0.8
"Q70HW3","No",274,"No",12,3,0.25
"Q7L5A8","Yes",372,"No",28,19,0.678571428571429
"Q7LG56","Yes",351,"No",13,13,1
"Q7Z2Z2","Yes",1120,"Yes",23,6,0.260869565217391
"Q7Z7B1","Yes",504,"No",12,5,0.416666666666667
"Q7Z7G8","Yes",1400,"No",16,1,0.0625
"Q86T65","No",1068,"No",23,3,0.130434782608696
"Q86VB7","Yes",1156,"No",10,0,0
"Q86XE5","Yes",327,"No",52,47,0.903846153846154
"Q86XK2","Yes",927,"No",105,56,0.533333333333333
"Q86Y38","Yes",959,"No",18,2,0.111111111111111
"Q86YV9","Yes",775,"No",13,4,0.307692307692308
"Q8IUX1","No",230,"No",10,2,0.2
"Q8IVH4","Yes",418,"No",20,19,0.95
"Q8IWS0","No",365,"No",25,22,0.88
"Q8IZY2","Yes",2146,"No",49,0,0
"Q8J025","Yes",514,"No",10,1,0.1
"Q8N130","Yes",599,"No",27,10,0.37037037037037
"Q8N159","Yes",534,"No",10,6,0.6
"Q8N465","Yes",521,"No",16,6,0.375
"Q8N6F1","No",224,"No",13,11,0.846153846153846
"Q8NB91","Yes",859,"No",50,3,0.06
"Q8NBK3","Yes",374,"No",32,24,0.75
"Q8NBL1","Yes",392,"No",10,4,0.4
"Q8NBP7","Yes",692,"No",41,17,0.414634146341463
"Q8NER1","Yes",839,"No",16,1,0.0625
"Q8NF50","Yes",2099,"No",30,2,0.0666666666666667
"Q8NF91","No",1400,"No",18,2,0.111111111111111
"Q8NHS3","Yes",518,"No",22,18,0.818181818181818
"Q8NI27","Yes",1593,"Yes",22,18,0.818181818181818
"Q8TCS8","Yes",783,"Yes",24,14,0.583333333333333
"Q8TEQ8","Yes",1089,"No",15,6,0.4
"Q8WTW3","Yes",980,"No",10,0,0
"Q8WXH0","No",1400,"No",32,0,0
"Q92562","Yes",907,"No",10,6,0.6
"Q92685","No",438,"No",17,15,0.882352941176471
"Q92878","Yes",1312,"No",19,5,0.263157894736842
"Q92887","Yes",1545,"No",37,11,0.297297297297297
"Q92889","Yes",916,"No",14,7,0.5
"Q92902","Yes",700,"No",22,9,0.409090909090909
"Q92947","Yes",438,"No",173,170,0.982658959537572
"Q93063","Yes",718,"No",32,13,0.40625
"Q93084","Yes",999,"No",10,0,0
"Q93099","Yes",445,"No",136,129,0.948529411764706
"Q93100","Yes",1093,"No",11,0,0
"Q969F9","Yes",1004,"No",12,2,0.166666666666667
"Q969S9","Yes",779,"No",23,1,0.0434782608695652
"Q969Y2","Yes",492,"No",21,11,0.523809523809524
"Q96AA3","Yes",541,"Yes",19,10,0.526315789473684
"Q96AD5","Yes",504,"No",15,5,0.333333333333333
"Q96AG3","Yes",418,"No",14,9,0.642857142857143
"Q96C12","Yes",935,"No",27,7,0.259259259259259
"Q96CU9","Yes",486,"No",15,8,0.533333333333333
"Q96CV9","No",577,"No",10,6,0.6
"Q96D31","No",301,"NT",14,7,0.5
"Q96DP5","Yes",389,"No",19,8,0.421052631578947
"Q96EN8","Yes",888,"No",25,3,0.12
"Q96EY8","Yes",250,"No",30,23,0.766666666666667
"Q96FC9","Yes",970,"Yes",35,3,0.0857142857142857
"Q96FM1","No",320,"No",21,13,0.619047619047619
"Q96H96","Yes",371,"No",13,8,0.615384615384615
"Q96HA7","No",1378,"Yes",32,2,0.0625
"Q96I59","Yes",477,"No",17,8,0.470588235294118
"Q96IR7","Yes",371,"No",28,24,0.857142857142857
"Q96IV0","Yes",654,"No",19,10,0.526315789473684
"Q96JX3","Yes",654,"No",20,7,0.35
"Q96KN2","Yes",507,"No",13,0,0
"Q96MK3","Yes",541,"No",15,3,0.2
"Q96MP8","Yes",289,"No",14,13,0.928571428571429
"Q96N76","Yes",676,"No",16,2,0.125
"Q96NR8","Yes",316,"No",60,58,0.966666666666667
"Q96NT5","Yes",459,"No",13,7,0.538461538461538
"Q96PZ2","Yes",611,"No",41,6,0.146341463414634
"Q96Q42","Yes",1657,"No",25,11,0.44
"Q96RK4","No",519,"No",18,10,0.555555555555556
"Q96RP9","Yes",751,"No",33,16,0.484848484848485
"Q96RQ3","Yes",725,"No",36,23,0.638888888888889
"Q96RR1","Yes",684,"No",42,39,0.928571428571429
"Q96S06","Yes",567,"No",30,2,0.0666666666666667
"Q96S37","Yes",553,"No",11,9,0.818181818181818
"Q99519","Yes",415,"No",33,26,0.787878787878788
"Q99650","Yes",979,"No",24,5,0.208333333333333
"Q99707","Yes",1265,"No",23,7,0.304347826086957
"Q99895","Yes",268,"No",12,2,0.166666666666667
"Q9BQ52","Yes",826,"Yes",18,8,0.444444444444444
"Q9BT22","Yes",464,"Yes",44,30,0.681818181818182
"Q9BUB7","No",260,"No",11,3,0.272727272727273
"Q9BUK6","Yes",570,"Yes",22,9,0.409090909090909
"Q9BV10","Yes",488,"No",15,7,0.466666666666667
"Q9BV79","Yes",373,"No",10,4,0.4
"Q9BVK2","Yes",526,"No",11,5,0.454545454545455
"Q9BW92","Yes",718,"Yes",18,10,0.555555555555556
"Q9BXC9","Yes",721,"No",27,20,0.740740740740741
"Q9BXW9","No",1451,"No",27,10,0.37037037037037
"Q9BY41","Yes",377,"No",56,39,0.696428571428571
"Q9BYX4","Yes",1025,"No",142,37,0.26056338028169
"Q9BZ23","Yes",570,"No",56,45,0.803571428571429
"Q9BZD2","Yes",475,"No",21,9,0.428571428571429
"Q9BZK7","Yes",514,"No",60,59,0.983333333333333
"Q9BZV2","Yes",496,"No",28,19,0.678571428571429
"Q9C0K1","Yes",460,"No",13,5,0.384615384615385
"Q9GZU1","No",580,"No",11,5,0.454545454545455
"Q9GZV9","Yes",251,"No",13,10,0.769230769230769
"Q9H078","Yes",707,"No",27,9,0.333333333333333
"Q9H0R6","Yes",528,"No",11,2,0.181818181818182
"Q9H0U3","Yes",335,"No",10,1,0.1
"Q9H0X4","Yes",552,"No",11,0,0
"Q9H221","Yes",673,"No",30,7,0.233333333333333
"Q9H222","Yes",651,"No",17,5,0.294117647058824
"Q9H3H5","Yes",408,"Yes",24,23,0.958333333333333
"Q9H3S1","Yes",761,"No",14,2,0.142857142857143
"Q9H3S4","Yes",243,"No",10,9,0.9
"Q9H553","Yes",416,"Yes",11,5,0.454545454545455
"Q9H5I5","Yes",1352,"No",24,9,0.375
"Q9H6U8","Yes",611,"No",12,3,0.25
"Q9H845","Yes",621,"No",40,26,0.65
"Q9H8M5","Yes",875,"No",26,18,0.692307692307692
"Q9H9P8","Yes",463,"No",18,11,0.611111111111111
"Q9HA77","Yes",564,"No",10,0,0
"Q9HAW7","Yes",530,"No",10,0,0
"Q9HBA0","Yes",871,"No",86,63,0.732558139534884
"Q9HBG4","Yes",840,"No",19,9,0.473684210526316
"Q9HC21","Yes",320,"No",15,13,0.866666666666667
"Q9HC96","Yes",672,"No",17,0,0
"Q9HCC0","Yes",563,"No",46,44,0.956521739130435
"Q9HCJ1","Yes",492,"No",12,8,0.666666666666667
"Q9NP58","Yes",842,"No",20,7,0.35
"Q9NP59","Yes",571,"No",51,39,0.764705882352941
"Q9NPD5","Yes",702,"No",12,0,0
"Q9NPJ1","Yes",570,"No",21,15,0.714285714285714
"Q9NQ11","Yes",1180,"No",19,5,0.263157894736842
"Q9NRA2","Yes",495,"No",16,15,0.9375
"Q9NRM0","Yes",540,"No",18,5,0.277777777777778
"Q9NRR6","Yes",644,"No",35,28,0.8
"Q9NSD9","Yes",589,"Yes",14,8,0.571428571428571
"Q9NSE4","Yes",1012,"Yes",21,9,0.428571428571429
"Q9NST1","Yes",481,"No",15,0,0
"Q9NSU2","Yes",314,"No",10,9,0.9
"Q9NUD9","No",493,"No",11,8,0.727272727272727
"Q9NVI1","Yes",1328,"No",29,8,0.275862068965517
"Q9NVI7","Yes",634,"No",24,6,0.25
"Q9NVM4","Yes",692,"No",16,8,0.5
"Q9NVS9","Yes",261,"No",13,12,0.923076923076923
"Q9NW38","No",375,"No",13,6,0.461538461538462
"Q9NWS8","Yes",449,"No",15,8,0.533333333333333
"Q9NWW5","Yes",311,"No",28,23,0.821428571428571
"Q9NYY8","Yes",710,"No",14,2,0.142857142857143
"Q9NZB8","Yes",636,"No",13,4,0.307692307692308
"Q9NZC2","Yes",230,"No",12,4,0.333333333333333
"Q9P2R7","Yes",463,"No",19,9,0.473684210526316
"Q9UBK8","Yes",698,"No",23,6,0.260869565217391
"Q9UBM7","Yes",475,"No",109,104,0.954128440366973
"Q9UBQ7","Yes",328,"No",27,19,0.703703703703704
"Q9UBX1","Yes",484,"No",11,4,0.363636363636364
"Q9UBY8","No",286,"No",29,24,0.827586206896552
"Q9UDR5","Yes",926,"No",15,5,0.333333333333333
"Q9UEF7","Yes",1012,"No",14,0,0
"Q9UGM6","Yes",360,"No",15,9,0.6
"Q9UHD2","Yes",729,"No",18,5,0.277777777777778
"Q9UHJ9","No",254,"No",16,10,0.625
"Q9UHK6","Yes",382,"No",11,2,0.181818181818182
"Q9UHN1","Yes",485,"No",10,2,0.2
"Q9UI10","Yes",523,"Yes",18,12,0.666666666666667
"Q9UI17","Yes",866,"No",12,2,0.166666666666667
"Q9UJS0","Yes",675,"No",21,17,0.80952380952381
"Q9UK59","Yes",544,"Yes",10,1,0.1
"Q9UKA2","Yes",621,"No",25,24,0.96
"Q9UKM7","No",699,"No",21,6,0.285714285714286
"Q9UKU7","Yes",415,"No",20,15,0.75
"Q9UKX2","Yes",1941,"No",14,5,0.357142857142857
"Q9UL12","Yes",918,"No",19,0,0
"Q9ULT0","No",858,"No",23,5,0.217391304347826
"Q9ULV0","Yes",1848,"No",58,21,0.362068965517241
"Q9UM01","Yes",511,"No",19,16,0.842105263157895
"Q9UMS0","Yes",254,"No",13,10,0.769230769230769
"Q9UMX9","Yes",530,"No",35,30,0.857142857142857
"Q9UP52","Yes",801,"No",20,7,0.35
"Q9UPQ8","No",538,"No",14,9,0.642857142857143
"Q9UPW8","Yes",1703,"No",11,2,0.181818181818182
"Q9UPZ3","Yes",1129,"No",16,3,0.1875
"Q9UQ90","Yes",795,"No",45,36,0.8
"Q9Y223","Yes",722,"No",49,48,0.979591836734694
"Q9Y253","Yes",713,"No",12,2,0.166666666666667
"Q9Y276","Yes",419,"No",37,34,0.918918918918919
"Q9Y2V7","No",657,"No",13,3,0.230769230769231
"Q9Y2Z2","Yes",717,"No",16,9,0.5625
"Q9Y2Z4","Yes",477,"Yes",16,13,0.8125
"Q9Y2Z9","Yes",468,"No",13,6,0.461538461538462
"Q9Y375","Yes",327,"No",12,3,0.25
"Q9Y3A0","Yes",265,"Yes",23,16,0.695652173913043
"Q9Y484","Yes",360,"No",53,22,0.415094339622642
"Q9Y487","Yes",856,"No",11,4,0.363636363636364
"Q9Y4I1","Yes",1855,"No",14,1,0.0714285714285714
"Q9Y4U1","Yes",282,"No",44,38,0.863636363636364
"Q9Y4W6","Yes",797,"Yes",41,37,0.902439024390244
"Q9Y5Y5","No",336,"No",10,5,0.5
"Q9Y606","Yes",427,"No",14,5,0.357142857142857
"Q9Y619","Yes",301,"No",20,16,0.8
"Q9Y672","Yes",507,"No",15,6,0.4
"Q9Y6K1","Yes",912,"No",62,56,0.903225806451613
"Q9Y6K9","No",419,"No",17,13,0.764705882352941
"Q9Y6L6","Yes",691,"No",12,0,0
"Q9Y6X9","Yes",1032,"No",43,30,0.697674418604651
