"uniprotids","Entanglement","Length","Essential","Total_Mutations_n","Path_Mutations_m","p_hat_m_div_n"
"Q9GZV9","Yes",251,"No",13,10,0.769230769230769
"Q9H0R6","Yes",528,"No",11,2,0.181818181818182
"Q9H211","Yes",546,"Yes",23,4,0.173913043478261
"Q9H237","Yes",461,"No",30,16,0.533333333333333
"Q9H2M9","Yes",1393,"No",15,5,0.333333333333333
"Q9H4B7","Yes",451,"No",19,4,0.210526315789474
"Q9H4F8","Yes",434,"No",11,4,0.363636363636364
"Q9H5I5","Yes",1352,"No",24,9,0.375
"Q9H6L2","Yes",316,"No",21,7,0.333333333333333
"Q9H845","Yes",621,"No",40,26,0.65
"Q9H9S5","Yes",495,"No",58,55,0.948275862068966
"Q9H9Y6","Yes",1135,"Yes",14,4,0.285714285714286
"Q9HA77","Yes",564,"No",10,0,0
"Q9HBA0","Yes",871,"No",86,63,0.732558139534884
"Q9HBG6","Yes",1241,"No",22,9,0.409090909090909
"Q9HC21","Yes",320,"No",15,13,0.866666666666667
"Q9HC29","Yes",1040,"No",64,17,0.265625
"Q9HCJ1","Yes",492,"No",12,8,0.666666666666667
"Q9HCJ5","Yes",1215,"No",66,2,0.0303030303030303
"Q9HCU4","Yes",1323,"No",21,2,0.0952380952380952
"Q9HD40","Yes",501,"No",13,8,0.615384615384615
"Q9NPF4","Yes",335,"Yes",18,15,0.833333333333333
"Q9NPJ1","Yes",570,"No",21,15,0.714285714285714
"Q9NQX1","Yes",630,"No",17,2,0.117647058823529
"Q9NQZ6","No",224,"No",23,19,0.826086956521739
"Q9NR23","Yes",364,"No",10,3,0.3
"Q9NR45","Yes",359,"No",11,6,0.545454545454545
"Q9NR61","Yes",685,"No",29,17,0.586206896551724
"Q9NR63","Yes",512,"No",17,5,0.294117647058824
"Q9NRD8","Yes",1548,"No",47,14,0.297872340425532
"Q9NRM0","Yes",540,"No",18,5,0.277777777777778
"Q9NRR6","Yes",644,"No",35,28,0.8
"Q9NSE4","Yes",1012,"Yes",21,9,0.428571428571429
"Q9NUQ7","Yes",469,"No",11,6,0.545454545454545
"Q9NVI7","Yes",634,"No",24,6,0.25
"Q9NVM4","Yes",692,"No",16,8,0.5
"Q9NW08","Yes",1133,"Yes",31,25,0.806451612903226
"Q9NWS8","Yes",449,"No",15,8,0.533333333333333
"Q9NXB0","Yes",559,"No",12,11,0.916666666666667
"Q9NYP3","Yes",566,"Yes",17,6,0.352941176470588
"Q9NYY8","Yes",710,"No",14,2,0.142857142857143
"Q9NZ08","Yes",941,"No",20,0,0
"Q9NZ71","Yes",1219,"Yes",35,9,0.257142857142857
"Q9NZC2","Yes",230,"No",12,4,0.333333333333333
"Q9NZJ4","Yes",1400,"No",187,19,0.101604278074866
"Q9P2H3","Yes",777,"No",13,7,0.538461538461538
"Q9P2L0","Yes",1181,"No",24,11,0.458333333333333
"Q9P2R7","Yes",463,"No",19,9,0.473684210526316
"Q9UBC3","Yes",853,"No",20,16,0.8
"Q9UBP0","Yes",616,"No",176,159,0.903409090909091
"Q9UEF7","Yes",1012,"No",14,0,0
"Q9UG01","Yes",1749,"No",27,8,0.296296296296296
"Q9UGM6","Yes",360,"No",15,9,0.6
"Q9UHJ9","No",254,"No",16,10,0.625
"Q9UHN1","Yes",485,"No",10,2,0.2
"Q9UHW9","Yes",1150,"No",13,8,0.615384615384615
"Q9UIR0","Yes",455,"No",21,0,0
"Q9UKA2","Yes",621,"No",25,24,0.96
"Q9UKM7","No",699,"No",21,6,0.285714285714286
"Q9UKX2","Yes",1941,"No",14,5,0.357142857142857
"Q9UKY4","Yes",750,"No",23,16,0.695652173913043
"Q9ULP9","Yes",559,"No",40,36,0.9
"Q9ULV0","Yes",1848,"No",58,21,0.362068965517241
"Q9UM07","Yes",663,"No",19,0,0
"Q9UQ13","No",582,"No",14,5,0.357142857142857
"Q9UQ90","Yes",795,"No",45,36,0.8
"Q9UQE7","Yes",1217,"Yes",53,46,0.867924528301887
"Q9Y210","Yes",931,"No",24,15,0.625
"Q9Y219","Yes",1238,"No",16,2,0.125
"Q9Y223","Yes",722,"No",49,48,0.979591836734694
"Q9Y243","Yes",479,"No",15,13,0.866666666666667
"Q9Y2V7","No",657,"No",13,3,0.230769230769231
"Q9Y2Z2","Yes",717,"No",16,9,0.5625
"Q9Y2Z4","Yes",477,"Yes",16,13,0.8125
"Q9Y2Z9","Yes",468,"No",13,6,0.461538461538462
"Q9Y345","Yes",797,"No",39,13,0.333333333333333
"Q9Y397","No",364,"No",14,5,0.357142857142857
"Q9Y3A0","Yes",265,"Yes",23,16,0.695652173913043
"Q9Y4W6","Yes",797,"Yes",41,37,0.902439024390244
"Q9Y5P6","Yes",360,"Yes",21,19,0.904761904761905
"Q9Y606","Yes",427,"No",14,5,0.357142857142857
"Q9Y6A1","Yes",747,"No",31,20,0.645161290322581
"Q9Y6C5","Yes",1203,"No",27,0,0
"Q9Y6K1","Yes",912,"No",62,56,0.903225806451613
"Q9Y6K9","No",419,"No",17,13,0.764705882352941
